SampleID,CellType,n,freq,lev
BC_adv_1,T/NK cell,892,0.102199817,Majorcelltype_annotation
BC_adv_1,B cell,11,0.001260312,Majorcelltype_annotation
BC_adv_1,Myeloid cell,354,0.04055912,Majorcelltype_annotation
BC_adv_1,Cancer/epithelial,7266,0.832493126,Majorcelltype_annotation
BC_adv_1,Fibroblast,178,0.020394134,Majorcelltype_annotation
BC_adv_1,EC,27,0.003093492,Majorcelltype_annotation
BC_adv_2,T/NK cell,425,0.529925187,Majorcelltype_annotation
BC_adv_2,B cell,27,0.033665835,Majorcelltype_annotation
BC_adv_2,Myeloid cell,70,0.087281796,Majorcelltype_annotation
BC_adv_2,Cancer/epithelial,140,0.174563591,Majorcelltype_annotation
BC_adv_2,Fibroblast,89,0.110972569,Majorcelltype_annotation
BC_adv_2,EC,51,0.063591022,Majorcelltype_annotation
BC_adv_3,T/NK cell,149,0.060717196,Majorcelltype_annotation
BC_adv_3,B cell,4,0.001629992,Majorcelltype_annotation
BC_adv_3,Myeloid cell,28,0.011409943,Majorcelltype_annotation
BC_adv_3,Cancer/epithelial,1906,0.776691117,Majorcelltype_annotation
BC_adv_3,Fibroblast,197,0.080277099,Majorcelltype_annotation
BC_adv_3,EC,170,0.069274654,Majorcelltype_annotation
BC_adv_4,T/NK cell,83,0.124251497,Majorcelltype_annotation
BC_adv_4,B cell,1,0.001497006,Majorcelltype_annotation
BC_adv_4,Myeloid cell,281,0.420658683,Majorcelltype_annotation
BC_adv_4,Cancer/epithelial,49,0.073353293,Majorcelltype_annotation
BC_adv_4,Fibroblast,252,0.377245509,Majorcelltype_annotation
BC_adv_4,EC,2,0.002994012,Majorcelltype_annotation
BC_adv_5,T/NK cell,1437,0.309498169,Majorcelltype_annotation
BC_adv_5,B cell,668,0.143872496,Majorcelltype_annotation
BC_adv_5,Myeloid cell,281,0.060521215,Majorcelltype_annotation
BC_adv_5,Cancer/epithelial,1842,0.396726255,Majorcelltype_annotation
BC_adv_5,Fibroblast,332,0.071505492,Majorcelltype_annotation
BC_adv_5,EC,83,0.017876373,Majorcelltype_annotation
BC_adv_6,T/NK cell,238,0.230843841,Majorcelltype_annotation
BC_adv_6,B cell,3,0.002909796,Majorcelltype_annotation
BC_adv_6,Myeloid cell,45,0.043646945,Majorcelltype_annotation
BC_adv_6,Cancer/epithelial,585,0.567410281,Majorcelltype_annotation
BC_adv_6,Fibroblast,62,0.06013579,Majorcelltype_annotation
BC_adv_6,EC,98,0.095053346,Majorcelltype_annotation
BC_adv_7,T/NK cell,66,0.101226994,Majorcelltype_annotation
BC_adv_7,B cell,49,0.075153374,Majorcelltype_annotation
BC_adv_7,Myeloid cell,68,0.104294479,Majorcelltype_annotation
BC_adv_7,Cancer/epithelial,420,0.644171779,Majorcelltype_annotation
BC_adv_7,Fibroblast,43,0.06595092,Majorcelltype_annotation
BC_adv_7,EC,6,0.009202454,Majorcelltype_annotation
BC_adv_8,T/NK cell,403,0.132784185,Majorcelltype_annotation
BC_adv_8,B cell,4,0.001317957,Majorcelltype_annotation
BC_adv_8,Myeloid cell,799,0.263261944,Majorcelltype_annotation
BC_adv_8,Cancer/epithelial,1490,0.490939044,Majorcelltype_annotation
BC_adv_8,Fibroblast,312,0.102800659,Majorcelltype_annotation
BC_adv_8,EC,27,0.008896211,Majorcelltype_annotation
BC_early_1,T/NK cell,1692,0.544401544,Majorcelltype_annotation
BC_early_1,B cell,169,0.054375804,Majorcelltype_annotation
BC_early_1,Myeloid cell,127,0.040862291,Majorcelltype_annotation
BC_early_1,Cancer/epithelial,68,0.021879022,Majorcelltype_annotation
BC_early_1,Fibroblast,842,0.270913771,Majorcelltype_annotation
BC_early_1,EC,210,0.067567568,Majorcelltype_annotation
BC_early_10,T/NK cell,1156,0.335948852,Majorcelltype_annotation
BC_early_10,B cell,350,0.101714618,Majorcelltype_annotation
