SampleID,avg_signature
BC_adv_1,0.342201871
BC_adv_2,0.241749021
BC_adv_3,0.295517894
BC_adv_4,0.085788391
BC_adv_5,0.630663033
BC_adv_6,0.254356733
BC_adv_7,0.32054727
BC_adv_8,0.326255487
BC_early_1,0.057135764
BC_early_10,0.338634064
BC_early_11,0.317761217
BC_early_12,0.198781733
BC_early_13,0.050693306
BC_early_14,0.199714678
BC_early_15,0.547390795
BC_early_16,0.48192357
BC_early_17,0.162996871
BC_early_18,0.048274989
BC_early_19,0.095595107
BC_early_2,0.42544934
BC_early_20,-0.042708014
BC_early_21,0.080484495
BC_early_22,0.115504841
BC_early_23,0.077159856
BC_early_24,0.079742792
BC_early_25,0.318488549
BC_early_26,0.090318596
BC_early_27,0.004807883
BC_early_28,0.128420764
BC_early_29,0.076385096
BC_early_3,0.491627855
BC_early_30,0.056713326
BC_early_31,0.085963588
BC_early_4,0.035773142
BC_early_5,0.031007489
BC_early_6,0.089582968
BC_early_7,0.127195669
BC_early_8,0.602467661
BC_early_9,0.147654034
CC_1,-0.030827164
CC_10,0.212524781
CC_11,0.127931536
CC_12,0.469457096
CC_13,0.306383972
CC_14,0.397400896
CC_15,0.338419826
CC_2,0.128183314
CC_3,0.095631321
CC_4,0.571153191
CC_5,0.601449637
CC_6,0.00644139
CC_7,0.197137281
CC_8,0.349711721
CC_9,0.158651408
CRC_1,0.337330923
CRC_10,0.075733295
CRC_11,0.140847135
CRC_12,0.058154564
CRC_13,0.341434551
CRC_14,0.038117182
CRC_2,0.166010053
CRC_3,0.188721427
CRC_4,0.375712279
CRC_5,0.24030177
CRC_6,0.072658671
CRC_7,0.238076157
CRC_8,0.157804907
CRC_9,0.126847112
GBM_1,0.096532138
GBM_2,0.084266608
GBM_3,0.254378137
GBM_4,0.216139829
GBM_5,0.122239963
GBM_6,0.31297552
HCC_1,-0.011404887
HCC_10,0.311812856
HCC_11,0.164934957
HCC_12,0.326783951
HCC_13,0.063883086
HCC_14,0.272345526
HCC_15,0.193131026
HCC_16,0.425730625
HCC_17,0.198546964
HCC_18,0.328995918
HCC_19,0.479198681
HCC_2,0.253507839
HCC_21,-0.053659754
HCC_22,0.278779094
HCC_23,0.05103207
HCC_24,0.318840366
HCC_25,0.505777625
HCC_26,0.055342518
HCC_27,0.12260433
HCC_28,0.030790063
HCC_29,0.194903848
HCC_3,0.052270222
HCC_30,0.109863909
HCC_31,-0.032803502
HCC_4,0.12373658
HCC_5,0.484000477
HCC_6,0.087393456
HCC_7,0.864080648
HCC_8,0.048372755
HCC_9,0.919454929
HNSCC_1,0.22445739
HNSCC_10,0.256136496
HNSCC_11,0.291481148
HNSCC_12,0.638075227
HNSCC_14,0.323547848
HNSCC_15,0.647046982
HNSCC_16,0.43356661
HNSCC_2,0.230259966
HNSCC_3,0.216335826
HNSCC_4,0.343097865
HNSCC_5,0.468191415
HNSCC_6,0.299754568
HNSCC_7,0.517522388
HNSCC_8,0.286879054
HNSCC_9,0.329419755
MEL_1,0.027277125
MEL_10,0.363108464
MEL_11,-0.014438193
MEL_12,0.42863733
MEL_13,0.483187263
MEL_14,-0.04226435
MEL_16,0.830525918
MEL_17,0.103609444
MEL_18,0.256269493
MEL_2,0.618572773
MEL_20,0.367789659
MEL_21,-0.039838039
MEL_22,0.216538793
MEL_23,-0.031141335
MEL_3,0.114658867
MEL_4,0.363287249
MEL_5,0.222167924
MEL_6,-0.006926139
MEL_7,0.001196304
MEL_8,0.408229064
MEL_9,0.75461989
NSCLC_adv_1,0.915691432
NSCLC_adv_2,0.005986388
NSCLC_adv_3,0.443638061
NSCLC_adv_4,0.04427439
NSCLC_adv_5,0.711444461
NSCLC_adv_6,0.305583235
NSCLC_adv_7,0.344232841
NSCLC_adv_8,-0.026000884
NSCLC_early_1,0.473587946
NSCLC_early_10,0.287641949
NSCLC_early_11,0.243982938
NSCLC_early_12,0.274620817
NSCLC_early_13,0.230951332
NSCLC_early_14,0.268600436
NSCLC_early_15,0.282433877
NSCLC_early_2,0.465311335
NSCLC_early_3,0.193757384
NSCLC_early_4,0.521171078
NSCLC_early_5,0.239763881
NSCLC_early_6,0.259747764
NSCLC_early_7,0.662592694
NSCLC_early_8,0.281267484
NSCLC_early_9,0.231992496
OV_1,0.204056414
OV_10,0.152422326
OV_11,0.236276042
OV_2,0.133847322
OV_3,0.053789007
OV_4,0.410244725
OV_5,0.17445958
OV_6,0.328913012
OV_7,0.247295404
OV_8,0.045955098
OV_9,0.091436693
