SampleID,CellType,n,freq,lev
BC_adv_1,T/NK cell_lev2,892,0.102199817,CellType_lev2
BC_adv_1,B cell_lev2,11,0.001260312,CellType_lev2
BC_adv_1,Myeloid cell_lev2,354,0.04055912,CellType_lev2
BC_adv_1,Cancer/epithelial_lev2,7266,0.832493126,CellType_lev2
BC_adv_1,Fibroblast_lev2,178,0.020394134,CellType_lev2
BC_adv_1,EC_lev2,27,0.003093492,CellType_lev2
BC_adv_2,T/NK cell_lev2,425,0.529925187,CellType_lev2
BC_adv_2,B cell_lev2,27,0.033665835,CellType_lev2
BC_adv_2,Myeloid cell_lev2,70,0.087281796,CellType_lev2
BC_adv_2,Cancer/epithelial_lev2,140,0.174563591,CellType_lev2
BC_adv_2,Fibroblast_lev2,89,0.110972569,CellType_lev2
BC_adv_2,EC_lev2,51,0.063591022,CellType_lev2
BC_adv_3,T/NK cell_lev2,149,0.060717196,CellType_lev2
BC_adv_3,B cell_lev2,4,0.001629992,CellType_lev2
BC_adv_3,Myeloid cell_lev2,28,0.011409943,CellType_lev2
BC_adv_3,Cancer/epithelial_lev2,1906,0.776691117,CellType_lev2
BC_adv_3,Fibroblast_lev2,197,0.080277099,CellType_lev2
BC_adv_3,EC_lev2,170,0.069274654,CellType_lev2
BC_adv_4,T/NK cell_lev2,83,0.124251497,CellType_lev2
BC_adv_4,B cell_lev2,1,0.001497006,CellType_lev2
BC_adv_4,Myeloid cell_lev2,281,0.420658683,CellType_lev2
BC_adv_4,Cancer/epithelial_lev2,49,0.073353293,CellType_lev2
BC_adv_4,Fibroblast_lev2,252,0.377245509,CellType_lev2
BC_adv_4,EC_lev2,2,0.002994012,CellType_lev2
BC_adv_5,T/NK cell_lev2,1437,0.309498169,CellType_lev2
BC_adv_5,B cell_lev2,668,0.143872496,CellType_lev2
BC_adv_5,Myeloid cell_lev2,281,0.060521215,CellType_lev2
BC_adv_5,Cancer/epithelial_lev2,1842,0.396726255,CellType_lev2
BC_adv_5,Fibroblast_lev2,332,0.071505492,CellType_lev2
BC_adv_5,EC_lev2,83,0.017876373,CellType_lev2
BC_adv_6,T/NK cell_lev2,238,0.230843841,CellType_lev2
BC_adv_6,B cell_lev2,3,0.002909796,CellType_lev2
BC_adv_6,Myeloid cell_lev2,45,0.043646945,CellType_lev2
BC_adv_6,Cancer/epithelial_lev2,585,0.567410281,CellType_lev2
BC_adv_6,Fibroblast_lev2,62,0.06013579,CellType_lev2
BC_adv_6,EC_lev2,98,0.095053346,CellType_lev2
BC_adv_7,T/NK cell_lev2,66,0.101226994,CellType_lev2
BC_adv_7,B cell_lev2,49,0.075153374,CellType_lev2
BC_adv_7,Myeloid cell_lev2,68,0.104294479,CellType_lev2
BC_adv_7,Cancer/epithelial_lev2,420,0.644171779,CellType_lev2
BC_adv_7,Fibroblast_lev2,43,0.06595092,CellType_lev2
BC_adv_7,EC_lev2,6,0.009202454,CellType_lev2
BC_adv_8,T/NK cell_lev2,403,0.132784185,CellType_lev2
BC_adv_8,B cell_lev2,4,0.001317957,CellType_lev2
BC_adv_8,Myeloid cell_lev2,799,0.263261944,CellType_lev2
BC_adv_8,Cancer/epithelial_lev2,1490,0.490939044,CellType_lev2
BC_adv_8,Fibroblast_lev2,312,0.102800659,CellType_lev2
BC_adv_8,EC_lev2,27,0.008896211,CellType_lev2
BC_early_1,T/NK cell_lev2,1692,0.544401544,CellType_lev2
BC_early_1,B cell_lev2,169,0.054375804,CellType_lev2
BC_early_1,Myeloid cell_lev2,127,0.040862291,CellType_lev2
BC_early_1,Cancer/epithelial_lev2,68,0.021879022,CellType_lev2
BC_early_1,Fibroblast_lev2,842,0.270913771,CellType_lev2
BC_early_1,EC_lev2,210,0.067567568,CellType_lev2
BC_early_10,T/NK cell_lev2,1156,0.335948852,CellType_lev2
BC_early_10,B cell_lev2,350,0.101714618,CellType_lev2
BC_early_10,Myeloid cell_lev2,312,0.090671316,CellType_lev2
BC_early_10,Cancer/epithelial_lev2,1200,0.348735833,CellType_lev2
BC_early_10,Fibroblast_lev2,329,0.095611741,CellType_lev2
BC_early_10,EC_lev2,94,0.02731764,CellType_lev2
BC_early_11,T/NK cell_lev2,176,0.556962025,CellType_lev2
BC_early_11,B cell_lev2,13,0.041139241,CellType_lev2
BC_early_11,Myeloid cell_lev2,82,0.259493671,CellType_lev2
BC_early_11,Cancer/epithelial_lev2,25,0.079113924,CellType_lev2
BC_early_11,Fibroblast_lev2,8,0.025316456,CellType_lev2
BC_early_11,EC_lev2,12,0.037974684,CellType_lev2
BC_early_12,T/NK cell_lev2,1809,0.638545711,CellType_lev2
BC_early_12,B cell_lev2,483,0.170490646,CellType_lev2
BC_early_12,Myeloid cell_lev2,263,0.092834451,CellType_lev2
BC_early_12,Cancer/epithelial_lev2,209,0.073773385,CellType_lev2
BC_early_12,Fibroblast_lev2,40,0.014119308,CellType_lev2
BC_early_12,EC_lev2,29,0.010236498,CellType_lev2
BC_early_13,T/NK cell_lev2,62,0.016820402,CellType_lev2
BC_early_13,B cell_lev2,7,0.001899078,CellType_lev2
BC_early_13,Myeloid cell_lev2,86,0.023331525,CellType_lev2
BC_early_13,Cancer/epithelial_lev2,3267,0.886326641,CellType_lev2
BC_early_13,Fibroblast_lev2,146,0.039609333,CellType_lev2
BC_early_13,EC_lev2,118,0.032013022,CellType_lev2
BC_early_14,T/NK cell_lev2,2720,0.512048193,CellType_lev2
BC_early_14,B cell_lev2,284,0.053463855,CellType_lev2
BC_early_14,Myeloid cell_lev2,237,0.044615964,CellType_lev2
BC_early_14,Cancer/epithelial_lev2,1425,0.268260542,CellType_lev2
BC_early_14,Fibroblast_lev2,460,0.086596386,CellType_lev2
BC_early_14,EC_lev2,186,0.03501506,CellType_lev2
BC_early_15,T/NK cell_lev2,3062,0.615230058,CellType_lev2
BC_early_15,B cell_lev2,400,0.080369701,CellType_lev2
BC_early_15,Myeloid cell_lev2,396,0.079566004,CellType_lev2
BC_early_15,Cancer/epithelial_lev2,857,0.172192084,CellType_lev2
BC_early_15,Fibroblast_lev2,238,0.047819972,CellType_lev2
BC_early_15,EC_lev2,24,0.004822182,CellType_lev2
BC_early_16,T/NK cell_lev2,379,0.125372147,CellType_lev2
BC_early_16,B cell_lev2,37,0.012239497,CellType_lev2
BC_early_16,Myeloid cell_lev2,310,0.102547139,CellType_lev2
BC_early_16,Cancer/epithelial_lev2,2247,0.743301356,CellType_lev2
BC_early_16,Fibroblast_lev2,45,0.014885875,CellType_lev2
BC_early_16,EC_lev2,5,0.001653986,CellType_lev2
BC_early_17,T/NK cell_lev2,119,0.216757741,CellType_lev2
BC_early_17,B cell_lev2,2,0.003642987,CellType_lev2
BC_early_17,Myeloid cell_lev2,16,0.029143898,CellType_lev2
BC_early_17,Cancer/epithelial_lev2,194,0.353369763,CellType_lev2
BC_early_17,Fibroblast_lev2,145,0.264116576,CellType_lev2
BC_early_17,EC_lev2,73,0.132969035,CellType_lev2
BC_early_18,T/NK cell_lev2,71,0.110077519,CellType_lev2
BC_early_18,B cell_lev2,5,0.007751938,CellType_lev2
BC_early_18,Myeloid cell_lev2,20,0.031007752,CellType_lev2
BC_early_18,Cancer/epithelial_lev2,270,0.418604651,CellType_lev2
BC_early_18,Fibroblast_lev2,243,0.376744186,CellType_lev2
BC_early_18,EC_lev2,36,0.055813953,CellType_lev2
BC_early_19,T/NK cell_lev2,107,0.414728682,CellType_lev2
BC_early_19,B cell_lev2,5,0.019379845,CellType_lev2
BC_early_19,Myeloid cell_lev2,17,0.065891473,CellType_lev2
BC_early_19,Cancer/epithelial_lev2,65,0.251937984,CellType_lev2
BC_early_19,Fibroblast_lev2,53,0.205426357,CellType_lev2
BC_early_19,EC_lev2,11,0.042635659,CellType_lev2
BC_early_2,T/NK cell_lev2,1138,0.260829704,CellType_lev2
BC_early_2,B cell_lev2,119,0.027274811,CellType_lev2
BC_early_2,Myeloid cell_lev2,120,0.027504011,CellType_lev2
BC_early_2,Cancer/epithelial_lev2,2583,0.592023837,CellType_lev2
BC_early_2,Fibroblast_lev2,365,0.083658033,CellType_lev2
BC_early_2,EC_lev2,38,0.008709603,CellType_lev2
BC_early_20,T/NK cell_lev2,232,0.112621359,CellType_lev2
BC_early_20,B cell_lev2,51,0.024757282,CellType_lev2
BC_early_20,Myeloid cell_lev2,114,0.055339806,CellType_lev2
BC_early_20,Cancer/epithelial_lev2,1318,0.639805825,CellType_lev2
BC_early_20,Fibroblast_lev2,274,0.133009709,CellType_lev2
BC_early_20,EC_lev2,71,0.034466019,CellType_lev2
BC_early_21,T/NK cell_lev2,176,0.200684151,CellType_lev2
BC_early_21,B cell_lev2,76,0.086659065,CellType_lev2
BC_early_21,Myeloid cell_lev2,81,0.092360319,CellType_lev2
BC_early_21,Cancer/epithelial_lev2,348,0.396807298,CellType_lev2
BC_early_21,Fibroblast_lev2,148,0.168757127,CellType_lev2
BC_early_21,EC_lev2,48,0.054732041,CellType_lev2
BC_early_22,T/NK cell_lev2,2715,0.557037341,CellType_lev2
BC_early_22,B cell_lev2,886,0.181780878,CellType_lev2
BC_early_22,Myeloid cell_lev2,197,0.040418547,CellType_lev2
BC_early_22,Cancer/epithelial_lev2,847,0.173779237,CellType_lev2
BC_early_22,Fibroblast_lev2,201,0.041239229,CellType_lev2
BC_early_22,EC_lev2,28,0.005744768,CellType_lev2
BC_early_23,T/NK cell_lev2,182,0.06207367,CellType_lev2
BC_early_23,B cell_lev2,201,0.068553888,CellType_lev2
BC_early_23,Myeloid cell_lev2,128,0.043656207,CellType_lev2
BC_early_23,Cancer/epithelial_lev2,2059,0.702251023,CellType_lev2
BC_early_23,Fibroblast_lev2,324,0.110504775,CellType_lev2
BC_early_23,EC_lev2,38,0.012960437,CellType_lev2
BC_early_24,T/NK cell_lev2,202,0.167080232,CellType_lev2
BC_early_24,B cell_lev2,13,0.010752688,CellType_lev2
BC_early_24,Myeloid cell_lev2,96,0.079404467,CellType_lev2
BC_early_24,Cancer/epithelial_lev2,212,0.17535153,CellType_lev2
BC_early_24,Fibroblast_lev2,473,0.391232423,CellType_lev2
BC_early_24,EC_lev2,213,0.17617866,CellType_lev2
BC_early_25,T/NK cell_lev2,613,0.413909521,CellType_lev2
BC_early_25,B cell_lev2,100,0.067521945,CellType_lev2
