	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene																															
CXCL8.9	0	7.795984189	0.897	0.057	0	Neutrophils	CXCL8																															
IGHA1.6	0	7.374884441	0.79	0.117	0	IgA mature	IGHA1																															
IGHG1.4	0	6.783525611	0.857	0.097	0	IgG mature	IGHG1																															
JCHAIN.4	0	6.555987028	0.871	0.059	0	IgA mature	JCHAIN																															
IGHG3.2	0	6.425007826	0.823	0.092	0	IgG mature	IGHG3																															
G0S2.3	0	6.394064878	0.804	0.066	0	Neutrophils	G0S2																															
IGHM.5	0	6.024619859	0.302	0.044	0	IgA mature	IGHM																															
IGLV6-57	0	5.995367245	0.301	0.012	0	IgG immature	IGLV6-57																															
IGHG4.2	0	5.92661694	0.691	0.081	0	IgG mature	IGHG4																															
IGKV4-1.1	0	5.874574789	0.283	0.025	0	IgG mature	IGKV4-1																															
IGKC.4	0	5.850776778	0.826	0.259	0	IgG mature	IGKC																															
IGHA2	0	5.778781474	0.483	0.014	0	IgA mature	IGHA2																															
IL1B.3	0	5.728067279	0.84	0.043	0	Inflam Mac	IL1B																															
IGHG2.1	0	5.611985498	0.683	0.027	0	IgG mature	IGHG2																															
CCL3.7	0	5.598870667	0.891	0.105	0	Inflam Mac	CCL3																															
CXCL3.1	0	5.596551777	0.706	0.039	0	Inflam Mac	CXCL3																															
IGKV3-20	0	5.559493203	0.304	0.033	0	IgG immature	IGKV3-20																															
CXCL8.2	0	5.554738487	0.873	0.056	0	Inflam Mac	CXCL8																															
IGLC3.4	0	5.527440566	0.421	0.078	0	IgA mature	IGLC3																															
IGLC2.4	0	5.498780101	0.566	0.117	0	IgA mature	IGLC2																															
IGLC3.2	0	5.487074213	0.361	0.077	0	IgG mature	IGLC3																															
IGHA1.7	1.39E-239	5.485170198	0.511	0.12	5.39E-235	IgA immature	IGHA1																															
IGLV3-1.1	0	5.443338981	0.431	0.014	0	IgG mature	IGLV3-1																															
IGKC.6	0	5.425026649	0.859	0.262	0	IgA mature	IGKC																															
IGLC2.2	0	5.378118725	0.507	0.115	0	IgG mature	IGLC2																															
CCL3L1	0	5.338041313	0.705	0.047	0	Inflam Mac	CCL3L1																															
IGLV3-1.2	0	5.312013582	0.466	0.018	0	IgG immature	IGLV3-1																															
JCHAIN.5	0	5.245956874	0.448	0.064	0	IgA immature	JCHAIN																															
IGHG3.3	0	5.22921252	0.637	0.1	0	IgG immature	IGHG3																															
IL1B.10	0	5.190109397	0.546	0.045	0	Neutrophils	IL1B																															
IGKV4-1.2	0	5.188345435	0.333	0.027	0	IgG immature	IGKV4-1																															
CCL3L1.5	0	5.106001032	0.454	0.048	0	Neutrophils	CCL3L1																															
IGLC3.3	0	5.096909582	0.46	0.079	0	IgG immature	IGLC3																															
BCL2A1.15	0	5.056035913	0.829	0.097	0	Neutrophils	BCL2A1																															
IGLC2.3	0	5.007631306	0.595	0.119	0	IgG immature	IGLC2																															
IGHG1.5	0	4.969906595	0.674	0.105	0	IgG immature	IGHG1																															
IGHG4.3	0	4.966232431	0.595	0.088	0	IgG immature	IGHG4																															
CCL22.1	0	4.946788948	0.732	0.006	0	mRegDC	CCL22																															
IGHGP	0	4.928232912	0.409	0.011	0	IgG mature	IGHGP																															
IGLV3-1.3	0	4.878579067	0.368	0.017	0	IgA mature	IGLV3-1																															
IGKC.5	0	4.875844536	0.737	0.265	0	IgG immature	IGKC																															
CCL20	0	4.85739531	0.534	0.041	0	Inflam Mac	CCL20																															
PLEK.17	0	4.778051513	0.609	0.098	0	Neutrophils	PLEK																															
CXCL13	0	4.722181392	0.679	0.047	0	CD4+ TFH	CXCL13																															
CXCL2.2	0	4.658139236	0.656	0.054	0	Inflam Mac	CXCL2																															
CCL4L2.7	3.91E-161	4.627325642	0.358	0.089	1.51E-156	Neutrophils	CCL4L2																															
IL1RN.6	0	4.613857755	0.484	0.049	0	Neutrophils	IL1RN																															
HCAR2	0	4.582612095	0.396	0.013	0	Neutrophils	HCAR2																															
CCL17.1	0	4.565291716	0.517	0.004	0	mRegDC	CCL17																															
CXCL10	0	4.553003965	0.768	0.039	0	IFN Mac	CXCL10																															
JCHAIN.3	0	4.530803225	0.689	0.063	0	IgG immature	JCHAIN																															
NAMPT.12	0	4.528595914	0.826	0.224	0	Neutrophils	NAMPT																															
C15orf48.9	2.01E-223	4.490130708	0.435	0.103	7.76E-219	Neutrophils	C15orf48																															
IGKC.7	2.73E-160	4.473186165	0.655	0.265	1.06E-155	IgA immature	IGKC																															
CXCL13.1	0	4.456872282	0.712	0.05	0	CD4+ TH1	CXCL13																															
HCAR3	0	4.442881379	0.457	0.009	0	Neutrophils	HCAR3																															
PLAUR.3	0	4.42047737	0.894	0.148	0	Inflam Mac	PLAUR																															
SOD2.14	0	4.418998242	0.822	0.281	0	Neutrophils	SOD2																															
IGLC3.1	4.94E-92	4.411206832	0.389	0.08	1.91E-87	Plasmablast	IGLC3																															SPCS3
IGHGP.1	0	4.391361708	0.33	0.016	0	IgG immature	IGHGP																															
G0S2	0	4.332844899	0.658	0.066	0	Inflam Mac	G0S2																															
S100A8.7	0	4.325126493	0.7	0.119	0	Neutrophils	S100A8																															
IGHA1.5	0	4.301537224	0.544	0.12	0	IgG immature	IGHA1																															
CXCL9	0	4.283423866	0.777	0.029	0	IFN Mac	CXCL9																															
CCL17	0	4.218985201	0.397	0.004	0	AXL_DC	CCL17																															
C15orf48.1	0	4.095203401	0.873	0.102	0	Inflam Mac	C15orf48																															
MZB1.4	0	4.094820795	0.925	0.053	0	IgA mature	MZB1																															
C15orf48.12	0	4.092575582	0.94	0.103	0	AXL_DC	C15orf48																															
IL1RN.2	0	4.086948397	0.705	0.048	0	Inflam Mac	IL1RN																															
PTGS2	0	4.064184194	0.557	0.032	0	Inflam Mac	PTGS2																															
FSCN1.1	0	4.043366269	0.954	0.163	0	mRegDC	FSCN1																															
IGHG2.2	0	4.040084368	0.496	0.034	0	IgG immature	IGHG2																															
CXCL5	0	4.03156992	0.373	0.006	0	Inflam Mac	CXCL5																															
MS4A1.3	0	4.003275778	0.978	0.032	0	GC B	MS4A1																															
PTGS2.1	0	4.001134343	0.354	0.033	0	Neutrophils	PTGS2																															
CXCL1	0	3.990101839	0.389	0.033	0	Inflam Mac	CXCL1																															
